
Gene_ID	error	StartBad	StopBad	frameshifts	splicesites	length	product	errorStill	StartStillBad	StopStillBad	frameshiftsStill	JoinExons	PossiblePseudo	CorrectionLog	
b4321	2	0	1	19	0	0	fructuronate transporter"	0	0	0	18	0	0	 // Corrected Stop	
b4353	1	1	0	0	0	0	PF04328 family protein YjiX"	0	0	0	0	0	0	 // Modell shifted 2 base(s) // Corrected Start	
b4357	2	0	1	1	0	0	putative DNA-binding transcriptional regulator	0	0	0	0	0	0	 // Corrected Stop	
b4371	3	0	1	1	0	1	16S rRNA m(2)G1207 methyltransferase"	0	0	0	0	0	0	 // Corrected Stop	
b4391	2	0	1	12	0	0	energy-dependent translational throttle protein	0	0	0	0	0	0	 // Corrected Stop	
b4394	1	0	1	0	0	0	inosine/xanthosine triphosphatase"	0	0	0	0	0	0	 // Corrected Stop	
b4403	1	0	0	1	0	0	putative tRNA/rRNA methyltransferase YjtD"	0	0	0	0	0	0	0	
b4476	4	1	1	24	0	1	low-affinity gluconate transporter"	0	0	0	0	0	0	 // Corrected Start // Corrected Stop	
b4512	1	1	0	0	0	0	PF04328 family protein YbdD"	0	0	0	0	0	0	 // Modell shifted 1 base(s) // Corrected Start	
b4525	4	1	1	3	0	1	putative uncharacterized protein YmjC"	0	0	0	0	0	0	 // Modell shifted 1 base(s) // Corrected Start // Corrected Stop	
b4534	1	0	1	0	0	0	protein YnfP"	0	0	0	0	0	0	 // Corrected Stop	
b4541	3	0	1	7	0	1	uncharacterized protein YehK"	0	0	0	6	0	0	 // Corrected Stop	
b4588	4	1	1	2	0	1	uncharacterized protein YlcH"	0	0	0	1	0	0	 // No unique shift for model found... MANUAL check // Corrected Start // Corrected Stop	
b4612	3	1	1	1	0	0	uncharacterized protein YrhD"	0	0	0	0	0	0	 // Corrected Start // Corrected Stop	
b4667	3	0	1	1	0	1	toxic peptide IbsA"	0	0	0	0	0	0	 // Corrected Stop	
b4670	1	1	0	0	0	0	uncharacterized protein YjeV"	0	0	0	0	0	0	 // No unique shift for model found... MANUAL check // Corrected Start	
b4672	3	0	1	1	0	1	putative protein YmiB"	0	0	0	0	0	0	 // Corrected Stop	
b4673	1	0	1	0	0	0	uncharacterized protein YmjD"	0	0	0	0	0	0	 // Corrected Stop	
b4679	2	0	1	4	0	0	putative membrane protein YohP"	0	0	0	2	0	0	 // Corrected Stop	
b4723	1	1	0	0	0	0	protein YmcF"	0	0	0	0	0	0	 // Corrected Start	
b4726	2	0	1	1	0	0	protein YabR"	0	0	0	0	0	0	 // Corrected Stop	
b4732	2	0	1	1	0	0	protein YkiD"	0	0	0	0	0	0	 // Corrected Stop	
b4739	1	0	1	0	0	0	protein YmgL"	0	0	0	0	0	0	 // Corrected Stop	
b4740	3	1	1	1	0	0	protein YmgM"	0	0	0	0	0	0	 // No unique shift for model found... MANUAL check // Corrected Start // Corrected Stop	
b4746	1	0	1	0	0	0	protein YddY"	0	0	0	0	0	0	 // Corrected Stop	
b4747	1	1	0	0	0	0	protein YneP"	0	0	0	0	0	0	 // Corrected Start	
b4755	2	0	1	0	0	1	protein YqhI"	0	0	0	0	0	0	 // Corrected Stop	
b4779	3	0	1	1	0	1	protein YoaM"	0	0	0	0	0	0	 // Corrected Stop	
b4791	3	0	1	2	0	1	protein YriA"	0	0	0	1	0	0	 // Corrected Stop	
b4792	2	0	1	0	0	1	protein YriB"	0	0	0	0	0	0	 // Corrected Stop	
b4802	1	1	0	0	0	0	protein YthB"	0	0	0	0	0	0	 // No unique shift for model found... MANUAL check // Corrected Start	
b4819	2	0	1	1	0	0	protein YpeD"	0	0	0	0	0	0	 // Corrected Stop	
b4824	1	1	0	0	0	0	protein YtjE"	1	1	0	0	0	0	0	
